,x
2,4.2559075511515
3,17.637118147614864
4,19.868520531080577
5,9.782670149246833
7,2.25438749393894
8,11.416866964760093
9,4.498865954789071
10,9.082707766692618
13,5.423496823579081
14,14.977854286386645
15,7.320054843543355
17,8.76680318822948
18,19.155311983504784
19,2.4649245526453005
22,4.846477656530471
23,4.648809140110811
24,1.10825998683001
25,4.46927378188405
26,1.026115137180255
27,6.041836927545882
28,8.992134611566978
30,1.6168826908913432
31,11.83246246422584
32,12.688863910593478
33,2.7505179438350433
34,3.506486184109576
35,15.347215436420766
37,8.042918139756189
38,5.9345001168590175
39,1.102850122395754
40,19.123027577228214
43,1.8170564250825496
44,1.420840058498642
48,1.042524592005842
50,13.444521496591433
51,9.874775309124908
53,1.0906220314705954
55,11.24364231553435
56,2.6897767094551304
57,4.517427398214014
58,3.311727480571387
59,3.7638704045827427
63,5.489585728571234
65,4.606941091670629
66,1.2520544193883418
67,13.044504425383334
68,16.647007756078516
69,10.489590862285201
70,3.8410761928527126
72,1.4795901896702697
73,4.376071913364433
74,11.116395791380942
75,11.909053337380836
76,3.4874898233859404
80,13.44452542706999
81,2.2739272457154174
82,7.051688212513547
85,7.683283034678753
86,4.002411177477059
87,11.32739410631581
88,4.496151270209289
91,5.933523795815128
92,5.742440403050827
93,14.467706113952952
95,1.0079353320695525
96,13.352494771329814
97,2.2237808153693814
98,1.4032180702558297
99,7.871025912564683
101,6.911792263711187
102,15.368330063499338
103,9.731769469378392
104,13.461807100676575
106,5.348976003504923
107,10.652044982432935
108,9.347071515944599
109,13.503956920797611
110,8.355006320511853
111,8.19338058822803
112,3.0343397636119303
117,1.3521379828989497
118,3.021035120131309
119,3.7156385321101295
120,4.375468847991511
121,2.513714287723607
122,5.928525668750989
125,9.450141380169367
127,6.767925220943166
128,18.548858811189003
129,19.295310030065636
130,19.040216569373655
131,4.824340764025534
132,13.349588695652514
133,1.4552048734109635
135,5.715212804412771
137,3.9414430614889278
140,2.9745162370884763
141,11.642726724754556
142,14.703617312774192
144,10.043187861573033
145,3.2240393649500296
147,4.109404821173186
149,15.558777611066139
150,2.1472539857992228
152,4.683525904703847
153,3.301106120492598
155,11.617141728000798
156,2.2772345241449123
157,3.4432511412518645
158,7.528413029392784
159,4.377485404689335
160,9.033350008465135
162,12.90252741086652
163,4.702557045769013
164,1.6262477819732266
165,9.30681750000813
166,1.001208741510166
167,12.039648576256184
168,9.493588306858046
170,10.145639046543128
171,8.788913429172663
172,9.154384478436894
173,11.198982848455035
174,5.435924470302824
175,4.885680910067402
176,4.181560195071958
177,3.82313052433181
178,4.512126279336223
179,1.520276284276521
180,8.900974830446444
182,17.353003614315515
185,2.9718558480898407
187,14.817800761522433
188,6.177759544735201
189,11.786607131784038
190,5.5222749351290865
191,1.0471796180381834
192,14.89653282054032
193,6.027369795407555
195,2.0685595673145105
198,4.691827967613275
199,10.670722866890305
201,13.963328714828187
202,7.0144156234329795
203,17.858590075762176
205,1.1296496117060075
206,3.813306094382156
207,7.129663776632209
208,8.849138313468192
209,4.127455485846874
210,2.174022028625504
211,4.588303633750364
213,2.1716927499640377
214,13.798176705572114
215,1.6819827814902257
217,13.82401418844954
218,12.140063859491509
219,3.1196798272949904
221,19.633654919470914
222,3.1497620723373627
224,4.247492674483718
225,3.319777354678151
226,6.991667796947234
227,16.083602784693852
228,13.6508437751268
229,18.842925619819006
231,8.519852563843532
232,7.0405168925556305
233,12.340066827878953
234,5.68046546959887
235,8.070697886063854
236,5.3004610386538396
237,10.534527747192229
238,11.878385156451134
239,18.883338785191917
240,6.915921824854645
241,14.490457923118687
242,1.9227441403141428
243,2.6497053792121865
244,12.146903679218529
245,3.2395710572813616
246,13.200865755687412
247,3.8458745276293365
248,13.715863191845498
249,1.2583587253927997
250,5.9400164060510585
251,2.4312507106672103
252,13.25673623823828
253,15.852259567812784
254,17.544858759428788
255,7.786007166095672
256,14.30327532807581
257,7.613838121312649
258,4.112746683311666
259,17.82192791202578
261,11.120112911570734
263,2.34527134415384
264,10.040309217434915
265,2.90783312028502
266,5.9348257173186365
267,8.297025919770316
269,1.167696944686545
271,14.511716222404216
274,4.287026637043725
276,6.446453620938398
278,6.841268434760826
281,9.064672678442493
282,18.822475021299603
283,3.444089601955419
284,1.1812036402007322
285,4.237227891939707
286,9.278309937330217
287,3.4041374327205376
288,16.134272657535508
289,7.608782106216355
290,5.699702622318537
291,1.3684984797640039
292,1.3888428428923238
293,3.1415923207511023
294,3.2932296386283118
295,17.53868220748903
296,1.0877953144371553
297,12.189005991294442
298,8.935950282352016
