,x
0,13.263517358447398
1,1.2808576326120917
2,6.630015670922642
3,9.396253825366333
4,8.016763690460948
5,5.734481897209455
6,5.105106154239514
7,2.3848120581670886
8,5.492647945892184
9,1.4298871150081074
10,1.246521364024399
11,13.950231491888427
12,14.806758175744381
13,14.707666910748499
14,18.738198348480942
15,3.338117433230929
16,9.46694580309477
17,2.7609711337315574
18,10.352541029375896
19,5.052816738500615
20,6.095075480264208
21,1.0764866263707877
23,11.140310526190637
24,1.8833600290598438
28,2.3054208502595137
29,10.72208906928649
31,6.926037036078593
32,3.7426008432585074
33,7.855720487702161
34,1.7972416263216207
35,16.651066768776296
37,3.8094396511341575
38,6.396347692138304
39,16.632841904634024
40,16.55324196542444
41,2.192908656299233
42,10.688991839125075
43,2.55608585802898
45,2.3823390249981378
46,2.727793542448271
47,1.3012232586112944
49,5.522460336216959
51,9.2759828901716
53,7.6008683594344975
54,3.003048269763942
55,7.539841704674052
56,4.581817457868822
57,4.577273412514267
58,19.367569716266097
60,2.752141250080837
61,17.32924364284258
62,5.051215621577606
63,7.6115466031280565
64,17.861597939814043
66,1.7955815269148552
67,7.504355225749213
68,10.009562114318474
69,4.365534399388679
