,x
10,1.6435770587694833
22,1.3690371473093839
23,1.1244614789885756
25,1.8873237619839611
26,1.4166123749647168
30,1.4092200640775607
37,1.3537479336649347
44,3.587908202351755
47,1.3176726200805846
53,1.0307022413515263
56,1.0093366905880727
58,1.2075499273419066
85,1.1249825649749166
87,1.029916928488527
88,1.1315921271612532
91,1.471612600864609
101,1.4557183573091261
105,1.0050952192565679
108,1.1211553179373706
116,1.1729294128645893
123,1.7937695784739032
133,2.632399042337261
135,1.5450139137068943
145,1.9905241586208826
146,1.7155946563033122
149,1.4509732608231538
152,1.1383940407755277
156,1.2155972062624958
169,1.40863643966288
185,1.1681660329773513
186,1.1179084585463042
203,1.4966102899241511
210,1.3168931815250826
211,2.996930499544459
212,2.0717658206636123
213,1.2850034420351821
214,2.2781237347698204
220,1.0298875617892997
223,2.032278685160376
256,1.5768992828934794
268,1.3680209739868658
292,2.1986292759970354
293,1.1462569726455525
