,x
1,5.171216068493446
2,10.135054490162187
3,2.1862932116670826
5,1.6117820096196527
7,16.76002637038578
8,4.222894813607271
9,6.296074706675338
11,1.9183908056694876
12,6.701084652602089
13,4.970153342843303
14,9.503986135699044
16,1.2822082186119586
19,8.358307146938008
20,14.758542653172059
22,13.171622024575107
23,5.134349055742036
24,18.818178783787562
25,6.269636586979277
27,18.812035769975914
28,4.880996118217914
29,1.6198348143427466
30,3.7437975494610503
31,5.399927849766328
33,6.978261058124903
36,11.107254884045181
37,10.41983247637048
38,17.58932804280608
39,5.070835842383763
40,9.410082583307393
41,17.211031054972114
42,1.2100013195203316
44,7.616101844969793
46,17.08005980485409
47,1.8537402687187456
48,4.880942215664242
49,5.758495656360792
51,13.697814699692042
52,9.32005622824965
53,14.457998015174459
54,19.165458670590574
57,16.77812691439411
59,12.146065626083073
60,2.8045341125506615
62,6.120274940152442
63,3.885634784042824
64,14.787516521815645
67,17.13274751553828
69,7.579085985752762
